States,Years,Quarter,Districts,Transction_Count,Transaction_Amount
"Andhra Pradesh",2022,3,"visakhapatnam district",6720,7779967
"Andaman and Nicobar Islands",2023,1,"north and middle andaman district",85,178969
"Andhra Pradesh",2021,3,"west godavari district",1452,1216098
"Andhra Pradesh",2022,3,"guntur district",4431,5271211
"Andhra Pradesh",2023,2,"chittoor district",3756,5988173
"Andaman and Nicobar Islands",2023,3,"south andaman district",682,1052324
"Andhra Pradesh",2020,4,"krishna district",2311,1222782
"Andaman and Nicobar Islands",2023,1,"south andaman district",872,1172083
"Andaman and Nicobar Islands",2022,4,"nicobars district",39,102155
"Andhra Pradesh",2021,3,"kurnool district",1027,796678
"Andhra Pradesh",2020,2,"guntur district",1938,344326
"Andhra Pradesh",2023,2,"guntur district",3725,5015442
"Andhra Pradesh",2021,1,"prakasam district",1182,585354
"Andaman and Nicobar Islands",2023,1,"nicobars district",47,88146
"Andhra Pradesh",2021,1,"east godavari district",1937,1065604
"Andaman and Nicobar Islands",2023,1,"north and middle andaman district",85,178969
"Andaman and Nicobar Islands",2023,3,"nicobars district",36,65285
"Andhra Pradesh",2020,2,"krishna district",2698,475539
"Andhra Pradesh",2023,2,"krishna district",5163,6666796
"Andhra Pradesh",2022,3,"krishna district",5529,6149431
"Andaman and Nicobar Islands",2023,2,"north and middle andaman district",56,109742
"Andhra Pradesh",2021,1,"srikakulam district",854,588769
"Andaman and Nicobar Islands",2023,1,"south andaman district",872,1172083
"Andhra Pradesh",2020,2,"east godavari district",1913,352220
"Andhra Pradesh",2020,3,"east godavari district",3783,970549
"Andhra Pradesh",2021,1,"anantapur district",1264,621128
"Andhra Pradesh",2022,4,"east godavari district",4450,5856052
"Andaman and Nicobar Islands",2023,2,"south andaman district",670,1060976
"Andhra Pradesh",2021,1,"spsr nellore district",1323,714947
"Andaman and Nicobar Islands",2023,1,"nicobars district",47,88146
"Andhra Pradesh",2020,2,"srikakulam district",536,107046
"Andhra Pradesh",2021,1,"ysr district",1265,729565
"Andhra Pradesh",2022,3,"prakasam district",2137,2552054
"Andhra Pradesh",2022,4,"srikakulam district",1294,1623449
"Andhra Pradesh",2023,3,"east godavari district",4157,5720660
"Andaman and Nicobar Islands",2023,2,"nicobars district",42,62677
"Andhra Pradesh",2021,3,"chittoor district",1991,1995617
"Andhra Pradesh",2020,3,"srikakulam district",1535,383049
"Andhra Pradesh",2020,2,"spsr nellore district",931,176423
"Andhra Pradesh",2022,3,"anantapur district",1934,2719786
"Andhra Pradesh",2022,4,"spsr nellore district",2733,3658896
"Andhra Pradesh",2021,1,"west godavari district",1460,850251
"Andaman and Nicobar Islands",2023,2,"north and middle andaman district",56,109742
"Andhra Pradesh",2021,3,"guntur district",2519,2102143
"Andhra Pradesh",2020,2,"vizianagaram district",893,166029
"Andhra Pradesh",2022,3,"ysr district",1892,2559169
"Andhra Pradesh",2021,1,"vizianagaram district",781,526804
"Andhra Pradesh",2022,4,"vizianagaram district",1373,1680979
"Andhra Pradesh",2021,1,"kurnool district",1270,508161
"Andhra Pradesh",2021,3,"krishna district",3258,2722279
"Andaman and Nicobar Islands",2023,3,"north and middle andaman district",77,133536
"Andhra Pradesh",2020,2,"visakhapatnam district",3504,614212
"Andhra Pradesh",2022,3,"west godavari district",2314,3113617
"Andhra Pradesh",2021,1,"visakhapatnam district",4006,2403199
"Andhra Pradesh",2022,4,"visakhapatnam district",7636,9911879
"Andaman and Nicobar Islands",2023,2,"south andaman district",670,1060976
"Andhra Pradesh",2021,4,"east godavari district",2532,3543718
"Andhra Pradesh",2023,3,"srikakulam district",1308,1724487
"Andhra Pradesh",2022,1,"anantapur district",1551,2556602
"Andhra Pradesh",2022,3,"kurnool district",1318,1720753
"Andhra Pradesh",2021,1,"prakasam district",1182,585354
"Andaman and Nicobar Islands",2022,2,"south andaman district",430,633029
"Andaman and Nicobar Islands",2023,2,"nicobars district",42,62677
"Andhra Pradesh",2020,2,"prakasam district",847,161709
"Andhra Pradesh",2021,1,"chittoor district",1629,1058050
"Andhra Pradesh",2021,4,"srikakulam district",1116,1152210
"Andhra Pradesh",2022,3,"chittoor district",3729,5145111
"Andhra Pradesh",2020,3,"spsr nellore district",5509,1259159
"Andhra Pradesh",2021,1,"anantapur district",1264,621128
"Andaman and Nicobar Islands",2023,3,"north and middle andaman district",77,133536
"Andaman and Nicobar Islands",2023,3,"south andaman district",682,1052324
"Andhra Pradesh",2020,2,"anantapur district",2739,485777
"Andhra Pradesh",2022,3,"guntur district",4431,5271211
"Andaman and Nicobar Islands",2022,2,"nicobars district",26,56308
"Andhra Pradesh",2022,1,"ysr district",1439,2086496
"Andhra Pradesh",2021,1,"ysr district",1265,729565
"Andhra Pradesh",2021,1,"guntur district",2412,1398326
"Andaman and Nicobar Islands",2023,3,"nicobars district",36,65285
"Andhra Pradesh",2021,4,"spsr nellore district",2369,2345876
"Andhra Pradesh",2020,3,"vizianagaram district",2999,691281
"Andaman and Nicobar Islands",2022,3,"north and middle andaman district",70,129013
"Andhra Pradesh",2022,1,"west godavari district",1991,3109555
"Andhra Pradesh",2020,3,"visakhapatnam district",7906,1892376
"Andaman and Nicobar Islands",2022,3,"south andaman district",535,687813
"Andhra Pradesh",2022,4,"prakasam district",2400,2848596
"Andaman and Nicobar Islands",2023,3,"south andaman district",682,1052324
"Andhra Pradesh",2021,1,"krishna district",2722,1699716
"Andhra Pradesh",2021,1,"west godavari district",1460,850251
"Andhra Pradesh",2022,1,"kurnool district",995,1641988
"Andhra Pradesh",2020,3,"prakasam district",2565,722751
"Andhra Pradesh",2023,3,"spsr nellore district",3082,3962298
"Andhra Pradesh",2022,3,"krishna district",5529,6149431
"Andaman and Nicobar Islands",2023,3,"nicobars district",36,65285
"Andhra Pradesh",2021,2,"east godavari district",2343,1695121
"Andhra Pradesh",2021,1,"kurnool district",1270,508161
"Andhra Pradesh",2020,2,"east godavari district",1913,352220
"Andhra Pradesh",2023,3,"vizianagaram district",1274,1526422
"Andhra Pradesh",2021,4,"vizianagaram district",924,916336
"Andhra Pradesh",2022,4,"east godavari district",4450,5856052
"Andhra Pradesh",2021,2,"srikakulam district",842,755796
"Andhra Pradesh",2022,4,"anantapur district",2425,3710468
"Andhra Pradesh",2022,1,"chittoor district",2887,4304499
"Andhra Pradesh",2021,4,"visakhapatnam district",4176,5425896
"Andhra Pradesh",2020,2,"ysr district",1978,343002
